,crash_free,crash_free_rate,crashed_trials,mean_collisions,max_collisions,mean_min_clear,mean_smooth,max_smooth,joint_limit_trials,max_joint_viol,mean_iters,total_time_s,mean_ms_per_sample
model,863/1000,0.863,137,2.499,73,0.08977218313887715,1.067584885701537,3.006085157394409,27,0.20037293434143066,,10.296447515487671,10.296447515487671
CHOMP from scratch,719/1000,0.719,281,1.495,21,0.03703390786424279,0.916125124886632,9.963173866271973,152,4.194709777832031,14.553,256.24070858955383,256.24070858955383
model + CHOMP,976/1000,0.976,24,0.131,16,0.07350905287265777,0.9951219363361598,3.7380013465881348,25,2.9101755619049072,3.126,55.394272804260254,55.394272804260254
CHOMP + extra losses,716/1000,0.716,284,1.53,21,0.03157909706234932,2.2381942911595107,37.14805221557617,213,13.387530326843262,15.912,504.596088886261,504.59608888626093
model + CHOMP + extra losses,976/1000,0.976,24,0.131,13,0.07339242917299271,0.9971777252703905,3.7376933097839355,26,2.90981125831604,3.081,86.45358753204346,86.45358753204346
